category,family,arm,seed,lambda_value,lambda_anchor,first_stage_r2,direction,true_elasticity,final_estimated_elasticity,final_abs_bias,final_regret,regret_pct_of_oracle
COO,exploration,controlled_variance,0,0.1,0.009,0.39,loop,-2.69,-2.5569,0.1331,1938.38,45.53
COO,causal,twosls,0,0.1,0.009,0.39,loop,-2.69,-2.6173,0.0727,297.01,6.98
COO,baseline,greedy,0,0.2,0.009,0.39,loop,-2.69,-2.874,0.184,3769.93,88.56
COO,exploration,controlled_variance,0,0.2,0.009,0.39,loop,-2.69,-2.5858,0.1042,2202.51,51.74
COO,causal,twosls,0,0.2,0.009,0.39,loop,-2.69,-2.0,0.69,681.11,16.0
COO,baseline,greedy,0,0.3,0.009,0.39,loop,-2.69,-2.683,0.007,3010.63,70.72
COO,exploration,controlled_variance,0,0.3,0.009,0.39,loop,-2.69,-2.5502,0.1398,2560.84,60.16
COO,causal,twosls,0,0.3,0.009,0.39,loop,-2.69,-2.0,0.69,858.26,20.16
COO,baseline,greedy,0,0.4,0.009,0.39,loop,-2.69,-2.6315,0.0585,2239.75,52.61
COO,exploration,controlled_variance,0,0.4,0.009,0.39,loop,-2.69,-2.5488,0.1412,3043.4,71.49
COO,causal,twosls,0,0.4,0.009,0.39,loop,-2.69,-2.0,0.69,1058.97,24.88
COO,baseline,greedy,0,0.6,0.009,0.39,loop,-2.69,-2.5352,0.1548,2319.17,54.48
COO,exploration,controlled_variance,0,0.6,0.009,0.39,loop,-2.69,-2.5935,0.0965,4684.76,110.05
COO,causal,twosls,0,0.6,0.009,0.39,loop,-2.69,-2.0,0.69,1579.27,37.1
COO,baseline,greedy,0,0.8,0.009,0.39,loop,-2.69,-2.5621,0.1279,3324.53,78.09
COO,exploration,controlled_variance,0,0.8,0.009,0.39,loop,-2.69,-2.5781,0.1119,8038.76,188.83
COO,causal,twosls,0,0.8,0.009,0.39,loop,-2.69,-2.0,0.69,2436.03,57.22
CSO,baseline,greedy,0,0.0,0.0,0.59,promo,-1.51,-0.407,1.103,4126.59,44.6
CSO,exploration,controlled_variance,0,0.0,0.0,0.59,promo,-1.51,-0.7997,0.7103,4450.24,48.1
CSO,causal,twosls,0,0.0,0.0,0.59,promo,-1.51,-1.4954,0.0146,333.99,3.61
CSO,baseline,greedy,0,0.1,0.0,0.59,promo,-1.51,-0.2985,1.2115,4217.29,45.58
